abs_b_deg,abs_c_deg,pass_num,accepted,b_ssi_abs_position_deg,b_ssi_zeroed_position_deg,c_ssi_abs_position_deg,c_ssi_zeroed_position_deg,b_ssi_rawcounts,c_ssi_rawcounts,b_following_error_udeg,c_following_error_udeg,b_axis_fb_udeg,c_axis_fb_udeg
0.000000,0.000000,1.000000,0.000000,-182.894554,0.020646,180.858994,-0.011306,-532719.000000,-526790.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,-182.894554,0.020646,180.858994,-0.011306,-532719.000000,-526790.000000,0.000000,0.000000,0.000000,0.000000
30.000000,0.000000,1.000000,0.000000,-152.894669,30.020531,180.858994,-0.011306,-445338.000000,-526790.000000,-114.440918,0.000000,29999885.559082,0.000000
0.000000,0.000000,1.000000,0.000000,-182.894554,0.020646,180.858994,-0.011306,-532719.000000,-526790.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,-182.894554,0.020646,180.858994,-0.011306,-532719.000000,-526790.000000,0.000000,0.000000,0.000000,0.000000
30.000000,0.000000,1.000000,0.000000,-152.894669,30.020531,180.858994,-0.011306,-445338.000000,-526790.000000,-114.440918,0.000000,29999885.559082,0.000000
0.000000,0.000000,1.000000,0.000000,-182.894554,0.020646,180.858994,-0.011306,-532719.000000,-526790.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,2.000000,1.000000,-182.894554,0.020646,180.858994,-0.011306,-532719.000000,-526790.000000,0.000000,0.000000,0.000000,0.000000
30.000000,0.000000,1.000000,0.000000,-152.894669,30.020531,180.858994,-0.011306,-445338.000000,-526790.000000,-114.440918,0.000000,29999885.559082,0.000000
30.000000,0.000000,2.000000,1.000000,-152.894325,30.020875,180.858994,-0.011306,-445338.000000,-526790.000000,228.881836,0.000000,30000228.881836,0.000000
-30.000000,0.000000,1.000000,0.000000,-212.894440,-29.979240,180.858994,-0.011306,-620100.000000,-526790.000000,114.440918,0.000000,-29999885.559082,0.000000
-30.000000,0.000000,2.000000,1.000000,-212.894440,-29.979240,180.858994,-0.011306,-620100.000000,-526790.000000,114.440918,0.000000,-29999885.559082,0.000000
60.000000,0.000000,1.000000,0.000000,-122.894783,60.020417,180.858994,-0.011306,-357957.000000,-526790.000000,114.440918,0.000000,60000114.440918,0.000000
60.000000,0.000000,2.000000,1.000000,-122.894440,60.020760,180.858994,-0.011306,-357956.000000,-526790.000000,114.440918,0.000000,60000114.440918,0.000000
-60.000000,0.000000,1.000000,0.000000,-242.894669,-59.979469,180.858994,-0.011306,-707482.000000,-526790.000000,228.881836,0.000000,-59999771.118164,0.000000
-60.000000,0.000000,2.000000,1.000000,-242.894669,-59.979469,180.858994,-0.011306,-707482.000000,-526790.000000,-114.440918,0.000000,-60000114.440918,0.000000
90.000000,0.000000,1.000000,0.000000,-92.894554,90.020646,180.858994,-0.011306,-270575.000000,-526790.000000,0.000000,0.000000,90000000.000000,0.000000
90.000000,0.000000,2.000000,1.000000,-92.894554,90.020646,180.858994,-0.011306,-270575.000000,-526790.000000,0.000000,0.000000,90000000.000000,0.000000
-90.000000,0.000000,1.000000,0.000000,-272.894554,-89.979354,180.858994,-0.011306,-794863.000000,-526790.000000,0.000000,0.000000,-90000000.000000,0.000000
-90.000000,0.000000,1.000000,0.000000,-272.894554,-89.979354,180.858994,-0.011306,-794863.000000,-526790.000000,0.000000,0.000000,-90000000.000000,0.000000
