abs_b_deg,abs_c_deg,pass_num,accepted,point_id,touch_abs_x_mm,touch_abs_y_mm,touch_abs_z_mm
0.000000,0.000000,1.000000,0.000000,1.000000,468.776624,323.677576,-841.108115
0.000000,0.000000,1.000000,0.000000,2.000000,450.802157,323.677576,-858.973582
0.000000,0.000000,1.000000,0.000000,3.000000,486.695258,323.677576,-858.973582
0.000000,0.000000,1.000000,0.000000,4.000000,468.776624,305.699776,-858.973582
0.000000,0.000000,1.000000,0.000000,5.000000,468.776624,341.643710,-858.973582
0.000000,0.000000,2.000000,1.000000,1.000000,468.748707,323.671743,-841.113281
0.000000,0.000000,2.000000,1.000000,2.000000,450.804080,323.671747,-858.978748
0.000000,0.000000,2.000000,1.000000,3.000000,486.700674,323.671743,-858.978748
0.000000,0.000000,2.000000,1.000000,4.000000,468.748707,305.698942,-858.978748
0.000000,0.000000,2.000000,1.000000,5.000000,468.748707,341.646210,-858.978748
90.000000,0.000000,1.000000,0.000000,1.000000,486.578343,323.672160,-858.978748
90.000000,0.000000,1.000000,0.000000,2.000000,468.712876,323.672160,-840.945115
90.000000,0.000000,1.000000,0.000000,3.000000,468.712876,323.672160,-876.865715
90.000000,0.000000,1.000000,0.000000,4.000000,468.712876,305.490194,-858.978748
90.000000,0.000000,1.000000,0.000000,5.000000,468.712876,341.438294,-858.978748
90.000000,0.000000,2.000000,1.000000,1.000000,486.580676,323.464244,-858.905415
90.000000,0.000000,2.000000,1.000000,2.000000,468.715209,323.464244,-840.941781
90.000000,0.000000,2.000000,1.000000,3.000000,468.715209,323.464244,-876.872382
90.000000,0.000000,2.000000,1.000000,4.000000,468.715209,305.493110,-858.905415
90.000000,0.000000,2.000000,1.000000,5.000000,468.715209,341.440378,-858.905415
0.000000,0.000000,1.000000,0.000000,1.000000,468.715209,323.465494,-841.117615
0.000000,0.000000,1.000000,0.000000,2.000000,450.834908,323.465494,-858.983082
0.000000,0.000000,1.000000,0.000000,3.000000,486.729676,323.465494,-858.983082
0.000000,0.000000,1.000000,0.000000,4.000000,468.715209,305.696860,-858.983082
0.000000,0.000000,1.000000,0.000000,5.000000,468.715209,341.641627,-858.983082
0.000000,0.000000,2.000000,1.000000,1.000000,468.782293,323.669244,-841.110281
0.000000,0.000000,2.000000,1.000000,2.000000,450.826992,323.669244,-858.975748
0.000000,0.000000,2.000000,1.000000,3.000000,486.730093,323.669244,-858.975748
0.000000,0.000000,2.000000,1.000000,4.000000,468.782292,305.692277,-858.975748
0.000000,0.000000,2.000000,1.000000,5.000000,468.782292,341.642877,-858.975748
-90.000000,0.000000,1.000000,0.000000,1.000000,450.750950,323.668410,-858.975748
-90.000000,0.000000,1.000000,0.000000,2.000000,468.616417,323.668410,-876.312715
-90.000000,0.000000,1.000000,0.000000,3.000000,468.616417,323.668410,-840.406281
-90.000000,0.000000,1.000000,0.000000,4.000000,468.616417,305.583110,-858.975748
-90.000000,0.000000,1.000000,0.000000,5.000000,468.616417,341.512877,-858.975748
-90.000000,0.000000,2.000000,1.000000,1.000000,450.733617,323.547994,-858.359498
-90.000000,0.000000,2.000000,1.000000,2.000000,468.599084,323.547994,-876.313132
-90.000000,0.000000,2.000000,1.000000,3.000000,468.599084,323.547994,-840.401698
-90.000000,0.000000,2.000000,1.000000,4.000000,468.599084,305.576860,-858.359498
-90.000000,0.000000,2.000000,1.000000,5.000000,468.599084,341.528294,-858.359498
0.000000,0.000000,1.000000,0.000000,1.000000,468.599084,323.550285,-841.113156
0.000000,0.000000,1.000000,0.000000,2.000000,450.802950,323.550285,-858.978623
0.000000,0.000000,1.000000,0.000000,3.000000,486.693551,323.550285,-858.978623
