abs_b_deg,abs_c_deg,pass_num,accepted,point_id,touch_abs_x_mm,touch_abs_y_mm,touch_abs_z_mm
15.000000,0.000000,1.000000,0.000000,1.000000,220.266024,354.416396,-274.440407
15.000000,0.000000,1.000000,0.000000,2.000000,209.282787,354.416396,-295.879049
15.000000,0.000000,1.000000,0.000000,3.000000,243.767571,354.416396,-286.638879
15.000000,0.000000,1.000000,0.000000,4.000000,224.889947,335.006096,-291.697123
15.000000,0.000000,1.000000,0.000000,5.000000,224.889947,370.788363,-291.697123
15.000000,0.000000,2.000000,1.000000,1.000000,221.863359,352.897230,-273.860817
15.000000,0.000000,2.000000,1.000000,2.000000,209.182508,352.897230,-295.754333
15.000000,0.000000,2.000000,1.000000,3.000000,243.788033,352.897230,-286.481811
15.000000,0.000000,2.000000,1.000000,4.000000,226.487283,334.927763,-291.117533
15.000000,0.000000,2.000000,1.000000,5.000000,226.487283,370.869197,-291.117533
30.000000,0.000000,1.000000,0.000000,1.000000,142.544504,352.897230,-306.545226
30.000000,0.000000,1.000000,0.000000,2.000000,136.389644,352.897230,-330.728000
30.000000,0.000000,1.000000,0.000000,3.000000,167.569420,352.897230,-312.726349
30.000000,0.000000,1.000000,0.000000,4.000000,151.477237,334.954429,-322.017175
30.000000,0.000000,1.000000,0.000000,5.000000,151.477237,370.877530,-322.017175
30.000000,0.000000,2.000000,1.000000,1.000000,143.038706,352.915980,-306.241210
30.000000,0.000000,2.000000,1.000000,2.000000,136.375778,352.915980,-330.717317
30.000000,0.000000,2.000000,1.000000,3.000000,167.559162,352.915980,-312.713582
30.000000,0.000000,2.000000,1.000000,4.000000,151.971440,334.941513,-321.713158
30.000000,0.000000,2.000000,1.000000,5.000000,151.971440,370.881280,-321.713158
-30.000000,0.000000,1.000000,0.000000,1.000000,469.896803,352.915980,-307.179822
-30.000000,0.000000,1.000000,0.000000,2.000000,444.993131,352.915980,-313.430944
-30.000000,0.000000,1.000000,0.000000,3.000000,476.053106,352.915980,-331.363429
-30.000000,0.000000,1.000000,0.000000,4.000000,460.964070,334.675679,-322.651770
-30.000000,0.000000,1.000000,0.000000,5.000000,460.964070,370.605447,-322.651770
-30.000000,0.000000,2.000000,1.000000,1.000000,469.459778,352.640563,-306.918439
-30.000000,0.000000,2.000000,1.000000,2.000000,444.996335,352.640563,-313.423728
-30.000000,0.000000,2.000000,1.000000,3.000000,476.060640,352.640563,-331.358713
-30.000000,0.000000,2.000000,1.000000,4.000000,460.527044,334.666096,-322.390387
-30.000000,0.000000,2.000000,1.000000,5.000000,460.527044,370.608363,-322.390387
